OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-MW-013-02,MW-013,MW-013c,Conference room,1,SingleResponse,SR-MW-013-MW-013C,False,20,True
OPT-MW-013-03,MW-013,MW-013d,Wellness room,1,SingleResponse,SR-MW-013-MW-013D,False,30,True
OPT-MW-013-04,MW-013,MW-013e,School mental health center,1,SingleResponse,SR-MW-013-MW-013E,False,40,True
OPT-MW-013-05,MW-013,MW-013f,Extended school counseling space,1,SingleResponse,SR-MW-013-MW-013F,False,50,True
OPT-MW-013-06,MW-013,MW-013g,Extended school counselor office,1,SingleResponse,SR-MW-013-MW-013G,False,60,True
OPT-MW-013-07,MW-013,MW-013h,Small group room,1,SingleResponse,SR-MW-013-MW-013H,False,70,True
OPT-MW-013-08,MW-013,MW-013j,College/career center,1,SingleResponse,SR-MW-013-MW-013J,False,80,True
OPT-MW-013-09,MW-013,MW-013k,Primary light fixtures throughout the suite are LED,1,SingleResponse,SR-MW-013-MW-013K,False,90,True
OPT-MW-014-01,MW-014,MW-014a,Lockable file storage and personal storage are provided at each staff workstation,1,SingleResponse,SR-MW-014-MW-014A,False,10,True
OPT-MW-014-02,MW-014,MW-014a,"Some lockable storage is provided, but quantity or access is limited",0.5,SingleResponse,SR-MW-014-MW-014A,False,20,True
OPT-MW-014-03,MW-014,MW-014a,No lockable storage is provided,,SingleResponse,SR-MW-014-MW-014A,False,30,True
OPT-MW-014-04,MW-014,MW-014a,Unable to assess (note reason),,SingleResponse,SR-MW-014-MW-014A,True,40,True
OPT-MW-015-01,MW-015,MW-015a,A thermostat is provided that has adjustable temperature controls,1,SingleResponse,SR-MW-015-MW-015A,False,10,True
OPT-MW-015-02,MW-015,MW-015a,A thermostat is provided that does not have adjustable temperature controls,0.5,SingleResponse,SR-MW-015-MW-015A,False,20,True
OPT-MW-015-03,MW-015,MW-015a,Only a temperature sensor is provided,,SingleResponse,SR-MW-015-MW-015A,False,30,True
OPT-MW-015-04,MW-015,MW-015a,No thermostat or sensor is present in the suite,,SingleResponse,SR-MW-015-MW-015A,False,40,True
OPT-MW-016-01,MW-016,MW-016a,Soft or comfortable seating is provided in student-use spaces,1,SingleResponse,SR-MW-016-MW-016A,False,10,True
OPT-MW-016-02,MW-016,MW-016b,Furniture can be rearranged to support different group sizes,1,SingleResponse,SR-MW-016-MW-016B,False,20,True
OPT-MW-016-03,MW-016,MW-016i,"Furniture that can be easily moved by a single person (e.g., casters, lightweight construction)",,Inventory,INV-MW-016-MW-016I,False,30,True
OPT-MW-016-04,MW-016,MW-016i,Tables and chairs for small groups,,Inventory,INV-MW-016-MW-016I,False,40,True
OPT-MW-017-01,MW-017,MW-017a,Good - appears relatively new or has minimal wear,1,SingleResponse,SR-MW-017-MW-017A,False,10,True
OPT-MW-017-02,MW-017,MW-017a,"Fair - some furniture is noticeably worn or aging, but all is functional",0.5,SingleResponse,SR-MW-017-MW-017A,False,20,True
OPT-MW-017-03,MW-017,MW-017a,"Poor - some or all furniture is significantly worn, damaged, or not usable",,SingleResponse,SR-MW-017-MW-017A,False,30,True
OPT-MW-018-01,MW-018,MW-018i,"Resilient flooring (e.g., vinyl, rubber)",,Inventory,INV-MW-018-MW-018I,False,10,True
OPT-MW-018-02,MW-018,MW-018i,Terrazzo,,Inventory,INV-MW-018-MW-018I,False,20,True
OPT-MW-018-03,MW-018,MW-018i,Polished concrete,,Inventory,INV-MW-018-MW-018I,False,30,True
OPT-MW-018-04,MW-018,MW-018i,"Carpet (i.e., not a loose rug)",,Inventory,INV-MW-018-MW-018I,False,40,True
OPT-MW-018-05,MW-018,MW-018i,Unable to assess (note reason),,Inventory,INV-MW-018-MW-018I,True,50,True
OPT-PL-001-01,PL-001,PL-001a,Yes,1,SingleResponse,SR-PL-001-PL-001A,False,10,True
OPT-PL-001-02,PL-001,PL-001a,No,0,SingleResponse,SR-PL-001-PL-001A,False,20,True
OPT-PL-001-03,PL-001,PL-001a,Unable to assess (note reason),,SingleResponse,SR-PL-001-PL-001A,True,30,True
OPT-PL-002-01,PL-002,PL-002a,Primary light fixtures are dimmable,1,SingleResponse,SR-PL-002-PL-002A,False,10,True
OPT-PL-002-02,PL-002,PL-002b,Primary light fixtures are LED,1,SingleResponse,SR-PL-002-PL-002B,False,20,True
OPT-PL-003-01,PL-003,PL-003a,"Good - walls are painted in light colors that can enhance daylighting, and accent color is used to reduce monotony",1,SingleResponse,SR-PL-003-PL-003A,False,10,True
OPT-PL-003-02,PL-003,PL-003a,"Fair - walls are painted in light colors that can enhance daylighting, but no accent color is used",0.5,SingleResponse,SR-PL-003-PL-003A,False,20,True
OPT-PL-003-03,PL-003,PL-003a,Poor - walls are painted in dark or monotonous colors,0,SingleResponse,SR-PL-003-PL-003A,False,30,True
OPT-PL-003-04,PL-003,PL-003a,Unable to assess (note reason),,SingleResponse,SR-PL-003-PL-003A,True,40,True
OPT-PL-004-01,PL-004,PL-004a,"Within the PLC (i.e., a dedicated room inside the PLC footprint)",1,SingleResponse,SR-PL-004-PL-004A,False,10,True
OPT-PL-004-02,PL-004,PL-004a,"Directly adjacent to the PLC (i.e., a separate room with direct access)",1,SingleResponse,SR-PL-004-PL-004A,False,20,True
OPT-PL-004-03,PL-004,PL-004a,Not provided,0,SingleResponse,SR-PL-004-PL-004A,False,30,True
OPT-PL-004-04,PL-004,PL-004a,Unable to assess (note reason),,SingleResponse,SR-PL-004-PL-004A,True,40,True
OPT-PL-005-01,PL-005,PL-005a,Yes,1,SingleResponse,SR-PL-005-PL-005A,False,10,True
OPT-PL-005-02,PL-005,PL-005a,No,0,SingleResponse,SR-PL-005-PL-005A,False,20,True
OPT-PL-005-03,PL-005,PL-005a,Unable to assess (note reason),,SingleResponse,SR-PL-005-PL-005A,True,30,True
OPT-PL-006-01,PL-006,PL-006a,"Access to views of the outdoors (e.g., not solely a view of an exterior wall)",1,SingleResponse,SR-PL-006-PL-006A,False,10,True
