SubcategoryID,CategoryID,ScoreFocusArea,SubcategoryName,SubcategoryWeight,WeightSource,DisplayOrder,IsActive
SUB-EARLY-CHILDH-OCCUPANT-E-SAFETY-AND-SUPERVISI-58911A,CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-BD637C,Special Education,Safety and Supervision,12,Source,30,True
SUB-EARLY-CHILDH-AMENITIES-FURNITURE-AND-EQUIPM-A31287,CAT-EARLY-CHILDHOOD--AMENITIES-2806E6,Special Education,Furniture and Equipment,12,Source,30,True
SUB-EARLY-CHILDH-INFRASTRUC-FLOORING-AND-SURFACE-F21EFB,CAT-EARLY-CHILDHOOD--INFRASTRUCTURE-8F2D85,Special Education,Flooring and Surface Finishes,6,Assumed,20,True
SUB-EARLY-CHILDH-FUNCTION-ADJACENCY-AND-ACCESS-B3D5C2,CAT-EARLY-CHILDHOOD--FUNCTION-65DB20,Special Education,Adjacency and Access,12,Source,20,True
SUB-EARLY-CHILDH-OCCUPANT-E-CIRCULATION-AND-EGRE-178BAA,CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-BD637C,Special Education,Circulation and Egress,12,Source,40,True
SUB-MAKER-SPACE-FUNCTION-LAYOUT-AND-FLEXIBILI-700268,CAT-MAKER-SPACE-FUNCTION-316497,Studios,Layout and Flexibility,12,Source,10,True
SUB-MAKER-SPACE-INFRASTRUC-UTILITIES-AND-TECHNO-F9353E,CAT-MAKER-SPACE-INFRASTRUCTURE-2B381C,Studios,Utilities and Technology,12,Source,10,True
SUB-MAKER-SPACE-OCCUPANT-E-AESTHETICS-C6C3B4,CAT-MAKER-SPACE-OCCUPANT-EXPERIENCE-C245CA,Studios,Aesthetics,6,Source,10,True
SUB-MAKER-SPACE-OCCUPANT-E-OCCUPANT-COMFORT-EB2663,CAT-MAKER-SPACE-OCCUPANT-EXPERIENCE-C245CA,Studios,Occupant Comfort,12,Source,20,True
SUB-MAKER-SPACE-AMENITIES-DISPLAY-AND-PRESENTA-3EA119,CAT-MAKER-SPACE-AMENITIES-ED6EAC,Studios,Display and Presentation,9,Source,10,True
SUB-MAKER-SPACE-AMENITIES-STORAGE-843EFC,CAT-MAKER-SPACE-AMENITIES-ED6EAC,Studios,Storage,9,Source,20,True
SUB-MAKER-SPACE-OCCUPANT-E-SAFETY-AND-SUPERVISI-903CD6,CAT-MAKER-SPACE-OCCUPANT-EXPERIENCE-C245CA,Studios,Safety and Supervision,12,Source,30,True
SUB-MAKER-SPACE-AMENITIES-FURNITURE-AND-EQUIPM-E20D48,CAT-MAKER-SPACE-AMENITIES-ED6EAC,Studios,Furniture and Equipment,12,Source,30,True
SUB-MAKER-SPACE-INFRASTRUC-FLOORING-AND-SURFACE-E6DF8E,CAT-MAKER-SPACE-INFRASTRUCTURE-2B381C,Studios,Flooring and Surface Finishes,6,Source,20,True
SUB-MAKER-SPACE-FUNCTION-ADJACENCY-AND-ACCESS-43532D,CAT-MAKER-SPACE-FUNCTION-316497,Studios,Adjacency and Access,12,Source,20,True
SUB-SPECIAL-EDUC-FUNCTION-AVAILABILITY-2C55F9,CAT-SPECIAL-EDUCATIO-FUNCTION-27F775,Special Education,Availability,3,Source,10,True
SUB-SPECIAL-EDUC-FUNCTION-ADJACENCY-AND-ACCESS-5C9745,CAT-SPECIAL-EDUCATIO-FUNCTION-27F775,Special Education,Adjacency and Access,3,Source,20,True
SUB-SPECIAL-EDUC-OCCUPANT-E-CIRCULATION-AND-EGRE-2AC696,CAT-SPECIAL-EDUCATIO-OCCUPANT-EXPERIENCE-9EECD6,Special Education,Circulation and Egress,3,Source,10,True
SUB-SPECIAL-EDUC-OCCUPANT-E-SAFETY-AND-SUPERVISI-744356,CAT-SPECIAL-EDUCATIO-OCCUPANT-EXPERIENCE-9EECD6,Special Education,Safety and Supervision,3,Source,20,True
SUB-SPECIAL-EDUC-AMENITIES-STORAGE-59A088,CAT-SPECIAL-EDUCATIO-AMENITIES-2963B9,Special Education,Storage,3,Source,10,True
SUB-SENSORY-MOTO-FUNCTION-LAYOUT-AND-FLEXIBILI-59ACEB,CAT-SENSORY-MOTOR-LA-FUNCTION-DE0409,Special Education,Layout and Flexibility,3,Source,10,True
SUB-SENSORY-MOTO-INFRASTRUC-UTILITIES-AND-TECHNO-533F99,CAT-SENSORY-MOTOR-LA-INFRASTRUCTURE-81347E,Special Education,Utilities and Technology,3,Source,10,True
SUB-SENSORY-MOTO-OCCUPANT-E-AESTHETICS-6B76EE,CAT-SENSORY-MOTOR-LA-OCCUPANT-EXPERIENCE-BA8837,Special Education,Aesthetics,3,Source,10,True
SUB-SENSORY-MOTO-OCCUPANT-E-OCCUPANT-COMFORT-540BD0,CAT-SENSORY-MOTOR-LA-OCCUPANT-EXPERIENCE-BA8837,Special Education,Occupant Comfort,3,Source,20,True
