CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-LIFE-SKILLS-STUD-OCCUPANT-EXPERIENCE-B7587E,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Occupant Experience,3,Source,40,True
CAT-LIFE-SKILLS-STUD-AMENITIES-CB548A,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Amenities,3,Source,50,True
CAT-VOCATIONAL-LAB-FUNCTION-841DE3,Special Education,SPT-VOCATIONAL-LAB-534CA6,Function,3,Source,20,True
CAT-VOCATIONAL-LAB-INFRASTRUCTURE-D1F491,Special Education,SPT-VOCATIONAL-LAB-534CA6,Infrastructure,3,Source,30,True
CAT-VOCATIONAL-LAB-OCCUPANT-EXPERIENCE-D68954,Special Education,SPT-VOCATIONAL-LAB-534CA6,Occupant Experience,3,Source,40,True
CAT-VOCATIONAL-LAB-AMENITIES-CFF977,Special Education,SPT-VOCATIONAL-LAB-534CA6,Amenities,3,Source,50,True
CAT-SPED-FLEX-STUDIO-FUNCTION-6DD4AD,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Function,3,Source,20,True
CAT-SPED-FLEX-STUDIO-INFRASTRUCTURE-4DE76D,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Infrastructure,3,Source,30,True
CAT-SPED-FLEX-STUDIO-OCCUPANT-EXPERIENCE-8AFA59,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Occupant Experience,3,Source,40,True
CAT-SPED-FLEX-STUDIO-AMENITIES-26A279,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Amenities,3,Source,50,True
CAT-LIBRARY-MEDIA-CE-FUNCTION-4C5A48,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Function,3,Source,20,True
CAT-LIBRARY-MEDIA-CE-OCCUPANT-EXPERIENCE-AA6844,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Occupant Experience,3,Source,30,True
CAT-LIBRARY-MEDIA-CE-INFRASTRUCTURE-55F9C1,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Infrastructure,3,Source,40,True
